NO,Perovskite Thickness,ETL Thickness,Provskite Bandgap,ETL Bandgap,Voc ,Jsc ,FF ,eta ,V_MPP ,J_MPP 
,4.04E-01,1.61E-01,1.55E+00,3.20E+00,0.817742,22.31661562,80.2219,14.6399,0.701535,20.86833881
,4.04E-01,1.73E-01,1.55E+00,3.20E+00,0.817713,22.30585822,80.2228,14.6325,0.70152,20.85823285
,4.04E-01,1.84E-01,1.55E+00,3.20E+00,0.817685,22.29533412,80.2237,14.6252,0.701505,20.84834463
,4.04E-01,1.96E-01,1.55E+00,3.20E+00,0.817657,22.28503688,80.2246,14.6181,0.701491,20.83866819
,4.04E-01,2.07E-01,1.55E+00,3.20E+00,0.81763,22.27496031,80.2255,14.6112,0.701477,20.82919779
,4.04E-01,2.19E-01,1.55E+00,3.20E+00,0.817603,22.26509847,80.2263,14.6044,0.701463,20.81992794
,4.04E-01,2.30E-01,1.55E+00,3.20E+00,0.817577,22.25544565,80.2271,14.5978,0.701449,20.81085329
,4.14E-01,1.50E-01,1.55E+00,3.20E+00,0.820445,22.47983573,80.1007,14.7733,0.702733,21.02269185
,4.14E-01,1.61E-01,1.55E+00,3.20E+00,0.820415,22.46881454,80.1017,14.7657,0.702717,21.01234791
,4.14E-01,1.73E-01,1.55E+00,3.20E+00,0.820385,22.45803406,80.1027,14.7583,0.702702,21.00222852
,4.14E-01,1.84E-01,1.55E+00,3.20E+00,0.820355,22.4474876,80.1037,14.751,0.702687,20.9923275
,4.14E-01,1.96E-01,1.55E+00,3.20E+00,0.820327,22.43716873,80.1047,14.7439,0.702672,20.98263885
,4.14E-01,2.07E-01,1.55E+00,3.20E+00,0.820299,22.4270712,80.1056,14.7369,0.702657,20.97315679
,4.14E-01,2.19E-01,1.55E+00,3.20E+00,0.820271,22.41718906,80.1065,14.7301,0.702643,20.96387582
,4.14E-01,2.30E-01,1.55E+00,3.20E+00,0.820244,22.40751658,80.1074,14.7234,0.702629,20.95479057
,4.25E-01,1.50E-01,1.55E+00,3.20E+00,0.823176,22.62466928,79.9737,14.8944,0.703933,21.15880953
,4.25E-01,1.61E-01,1.55E+00,3.20E+00,0.823145,22.61362685,79.9749,14.8867,0.703916,21.14845466
,4.25E-01,1.73E-01,1.55E+00,3.20E+00,0.823113,22.6028258,79.9759,14.8793,0.7039,21.13832488
,4.25E-01,1.84E-01,1.55E+00,3.20E+00,0.823083,22.59225943,79.977,14.872,0.703885,21.12841397
,4.25E-01,1.96E-01,1.55E+00,3.20E+00,0.823053,22.58192128,79.978,14.8648,0.703869,21.11871594
,4.25E-01,2.07E-01,1.55E+00,3.20E+00,0.823024,22.57180508,79.9791,14.8578,0.703854,21.10922496
,4.25E-01,2.19E-01,1.55E+00,3.20E+00,0.822996,22.56190485,79.98,14.851,0.70384,21.09993553
,4.25E-01,2.30E-01,1.55E+00,3.20E+00,0.822968,22.55221485,79.981,14.8443,0.703825,21.09084225
,4.36E-01,1.50E-01,1.55E+00,3.20E+00,0.825964,22.76253891,79.8404,15.0108,0.705149,21.28745037
,4.36E-01,1.61E-01,1.55E+00,3.20E+00,0.825931,22.75147755,79.8416,15.0032,0.705132,21.27708737
,4.36E-01,1.73E-01,1.55E+00,3.20E+00,0.825899,22.74065818,79.8428,14.9957,0.705116,21.26694993
,4.36E-01,1.84E-01,1.55E+00,3.20E+00,0.825867,22.73007407,79.8439,14.9883,0.705099,21.25703177
,4.36E-01,1.96E-01,1.55E+00,3.20E+00,0.825837,22.71971872,79.845,14.9811,0.705083,21.2473269
,4.36E-01,2.07E-01,1.55E+00,3.20E+00,0.825806,22.70958589,79.8461,14.9741,0.705068,21.23782948
,4.36E-01,2.19E-01,1.55E+00,3.20E+00,0.825777,22.69966953,79.8471,14.9672,0.705053,21.22853398
,4.36E-01,2.30E-01,1.55E+00,3.20E+00,0.825748,22.68996392,79.8482,14.9605,0.705038,21.21943498
